Date,Open Price,Close Price,High,Low
2018-06-13,6556.94,6310.43,6623.0,6140.63
2018-06-14,6310.43,6643.26,6719.44,6286.23
2018-06-15,6643.63,6396.71,6667.23,6380.69
2018-06-16,6396.71,6503.1,6569.15,6345.99
2018-06-17,6503.1,6457.78,6585.77,6446.38
2018-06-18,6457.78,6714.82,6802.03,6401.41
2018-06-19,6714.56,6741.28,6839.6,6672.2
2018-06-20,6741.28,6761.27,6817.9,6569.96
2018-06-21,6761.27,6720.64,6790.08,6687.66
2018-06-22,6720.64,6051.47,6731.51,5941.32
2018-06-23,6051.47,6166.54,6257.88,6033.2
2018-06-24,6166.36,6157.78,6254.02,5782.13
2018-06-25,6157.78,6260.35,6344.45,6095.25
2018-06-26,6260.4,6088.39,6286.36,6067.49
2018-06-27,6092.26,6141.57,6192.11,6021.69
2018-06-28,6141.57,5871.28,6172.23,5844.26
2018-06-29,5870.81,6203.8,6286.67,5813.02
2018-06-30,6203.81,6385.38,6503.33,6194.51
2018-07-01,6385.43,6339.04,6429.5,6262.72
2018-07-02,6342.69,6615.66,6673.71,5537.86
2018-07-03,6616.6,6509.58,6670.3,6473.48
2018-07-04,6508.43,6590.06,6777.97,6411.13
2018-07-05,6589.77,6534.81,6691.32,6448.23
2018-07-06,6534.81,6602.02,6633.44,6458.14
2018-07-07,6602.03,6758.08,6814.42,6518.23
2018-07-08,6758.08,6707.38,6782.85,6684.15
2018-07-09,6707.46,6668.84,6803.1,6625.58
2018-07-10,6668.84,6306.85,6683.61,6277.23
2018-07-11,6306.87,6394.36,6405.59,6293.68
2018-07-12,6394.36,6253.6,6394.93,6084.0
2018-07-13,6253.66,6229.83,6349.21,6131.54
2018-07-14,6229.61,6268.75,6332.46,6190.18
2018-07-15,6268.32,6364.26,6401.5,6245.75
2018-07-16,6364.26,6740.55,6761.84,6349.83
2018-07-17,6740.54,7326.7,7476.24,6677.56
2018-07-18,7326.76,7383.39,7590.65,7253.71
2018-07-19,7383.39,7477.5,7563.7,7289.9
2018-07-20,7477.1,7333.93,7676.55,7279.34
2018-07-21,7333.93,7405.4,7453.07,7220.37
2018-07-22,7405.4,7398.64,7569.28,7345.25
2018-07-23,7398.64,7718.0,7798.59,7376.66
2018-07-24,7718.0,8395.82,8485.71,7692.16
2018-07-25,8395.81,8170.23,8481.11,8061.07
2018-07-26,8170.37,7937.25,8302.24,7862.67
2018-07-27,7937.1,8182.89,8278.01,7806.25
2018-07-28,8182.88,8230.87,8238.04,8070.04
2018-07-29,8230.82,8216.78,8291.55,8123.53
2018-07-30,8216.7,8176.06,8273.61,7867.44
2018-07-31,8176.08,7735.3,8176.27,7663.7
2018-08-01,7736.25,7610.9,7760.74,7449.31
2018-08-02,7610.9,7542.34,7713.32,7470.86
2018-08-03,7542.34,7417.6,7542.49,7296.76
2018-08-04,7417.6,7017.89,7490.89,6940.15
2018-08-05,7017.89,7042.39,7092.53,6898.31
2018-08-06,7042.57,6945.78,7160.4,6854.79
2018-08-07,6945.77,6723.21,7150.86,6685.02
2018-08-08,6723.29,6285.02,6723.99,6133.03
2018-08-09,6285.06,6543.24,6631.23,6195.02
2018-08-10,6543.25,6153.41,6582.14,6025.91
2018-08-11,6152.95,6242.54,6488.55,6014.26
2018-08-12,6242.53,6322.92,6483.39,6176.89
2018-08-13,6322.41,6263.2,6545.02,6157.03
2018-08-14,6263.2,6199.6,6266.5,5891.87
2018-08-15,6199.63,6274.22,6620.07,6193.63
2018-08-16,6274.22,6323.81,6478.07,6217.33
2018-08-17,6323.81,6591.16,6594.72,6300.45
2018-08-18,6591.18,6405.71,6622.16,6322.44
2018-08-19,6405.74,6502.18,6560.88,6330.56
2018-08-20,6502.24,6269.9,6537.54,6248.39
2018-08-21,6270.09,6491.11,6506.69,6259.81
2018-08-22,6491.09,6366.13,6890.79,6264.34
2018-08-23,6366.14,6538.95,6575.28,6356.96
2018-08-24,6539.13,6708.96,6736.83,6481.76
2018-08-25,6708.94,6749.56,6808.89,6684.19
2018-08-26,6749.71,6720.6,6793.17,6588.48
2018-08-27,6720.6,6915.73,6944.21,6674.84
2018-08-28,6915.92,7091.38,7136.71,6877.2
2018-08-29,7091.38,7052.0,7137.47,6944.76
2018-08-30,7051.61,6998.76,7072.64,6818.69
2018-08-31,6998.76,7026.96,7096.73,6903.08
2018-09-01,7026.96,7203.46,7272.03,7025.58
2018-09-02,7203.46,7301.26,7384.38,7144.71
2018-09-03,7301.25,7270.05,7350.58,7204.89
2018-09-04,7270.05,7369.86,7417.65,7246.76
2018-09-05,7369.89,6705.03,7401.43,6694.06
2018-09-06,6705.06,6515.42,6727.19,6295.11
2018-09-07,6515.42,6411.78,6549.39,6345.48
2018-09-08,6413.12,6200.16,6480.57,6134.76
2018-09-09,6200.23,6249.07,6451.25,6161.83
2018-09-10,6249.07,6324.43,6371.42,6247.64
2018-09-11,6324.43,6295.54,6415.51,6199.19
2018-09-12,6295.54,6337.11,6357.89,6208.28
2018-09-13,6337.08,6492.0,6534.89,6337.08
2018-09-14,6492.17,6486.01,6591.59,6393.84
2018-09-15,6485.39,6522.08,6573.19,6473.47
2018-09-16,6522.68,6502.44,6525.05,6404.31
2018-09-17,6502.44,6261.48,6538.82,6216.83
2018-09-18,6261.33,6346.44,6393.39,6238.25
2018-09-19,6346.44,6398.8,6522.9,6131.02
2018-09-20,6398.83,6505.9,6551.93,6361.33
2018-09-21,6505.97,6762.06,6785.22,6501.01
2018-09-22,6762.07,6716.6,6834.49,6633.01
2018-09-23,6716.6,6702.7,6768.56,6663.9
2018-09-24,6702.73,6583.53,6717.6,6557.82
2018-09-25,6583.53,6437.74,6583.54,6333.21
2018-09-26,6437.74,6462.6,6543.92,6383.16
2018-09-27,6462.6,6686.13,6733.94,6434.76
2018-09-28,6686.13,6635.38,6806.1,6545.41
2018-09-29,6635.4,6603.75,6635.42,6474.23
2018-09-30,6603.75,6623.71,6741.96,6543.68
2018-10-01,6623.82,6594.98,6662.6,6510.54
2018-10-02,6594.98,6525.47,6618.95,6478.04
2018-10-03,6525.46,6492.26,6537.07,6428.98
2018-10-04,6492.61,6579.79,6622.32,6486.86
2018-10-05,6580.0,6632.87,6683.55,6546.98
2018-10-06,6632.88,6589.94,6637.08,6563.25
2018-10-07,6589.94,6601.15,6622.49,6535.02
2018-10-08,6601.46,6650.07,6698.31,6565.01
2018-10-09,6650.07,6631.79,6657.0,6589.39
2018-10-10,6631.79,6581.07,6633.22,6487.86
2018-10-11,6581.07,6209.47,6581.59,6171.95
2018-10-12,6209.47,6250.85,6296.56,6173.86
2018-10-13,6252.1,6267.27,6280.73,6238.92
2018-10-14,6267.27,6277.73,6346.56,6247.17
2018-10-15,6277.73,6612.36,7234.83,6244.77
2018-10-16,6612.69,6583.05,6724.91,6545.54
2018-10-17,6583.05,6574.52,6589.2,6511.6
2018-10-18,6576.4,6488.72,6616.27,6445.05
2018-10-19,6489.37,6469.28,6503.09,6449.36
2018-10-20,6469.28,6490.56,6645.2,6395.45
2018-10-21,6490.6,6509.87,6557.39,6474.47
2018-10-22,6509.87,6483.23,6531.23,6460.38
2018-10-23,6484.32,6470.22,6496.2,6438.99
2018-10-24,6470.63,6476.25,6538.35,6465.73
2018-10-25,6476.52,6462.77,6497.9,6432.3
2018-10-26,6462.77,6457.21,6514.0,6441.81
2018-10-27,6457.21,6470.17,6479.0,6445.95
2018-10-28,6470.17,6470.74,6483.24,6444.74
2018-10-29,6470.74,6313.91,6483.39,6282.58
2018-10-30,6314.38,6309.11,6340.68,6286.3
2018-10-31,6309.11,6342.61,6391.25,6241.49
2018-11-01,6342.81,6381.3,6402.59,6322.6
2018-11-02,6381.3,6394.66,6420.93,6371.57
2018-11-03,6394.65,6376.32,6398.09,6336.96
2018-11-04,6376.55,6467.05,6498.16,6351.92
2018-11-05,6467.05,6433.74,6475.8,6406.69
